SpT,PS1gmag,PS1rmag,PS1imag,PS1zmag,PS1ymag,Jmag,Hmag,Ksmag,W1mag,W2mag,W3mag,W4mag,label
G5V,10.189,9.744,9.583,9.522,9.496,8.584,8.238,8.129,8.08,8.134,8.097,8.006,false
G8/K0III,8.541,7.835,7.577,7.447,7.36,6.331,5.799,5.691,5.625,5.578,5.656,5.586,false
K0III,10.064,9.317,9.052,8.927,8.829,7.786,7.291,7.112,6.968,7.148,7.053,6.945,false
M0V,18.7841,17.6358,17.0011,16.7066,16.5489,15.446,14.708,14.728,14.559,14.574,12.655,9.114,false
K5,10.285,9.537,7.6183,7.9831,7.9033,6.932,6.173,6.007,5.972,5.935,5.949,5.873,false
K5,9.604,7.988,7.164,6.625,6.322,5.058,3.906,4.006,3.874,3.686,3.829,3.692,false
A2,7.946,7.986,8.079,8.166,8.189,7.494,7.417,7.386,7.322,7.366,7.384,7.319,false
A3,9.359,9.449,9.562,9.64,9.675,8.995,8.95,8.91,8.876,8.903,8.869,8.894,false
A3,13.5706,10.0706,11.9722,9.1212,9.8808,8.995,8.95,8.91,8.876,8.903,8.869,8.894,false
A1V,9.031,9.125,9.237,9.305,9.38,8.703,8.722,8.645,8.575,8.601,8.615,8.431,false
A1V,9.2035,8.9476,9.0286,9.653,9.0357,8.703,8.722,8.645,8.575,8.601,8.615,8.431,false
K0III/IV,8.326,7.532,7.211,7.037,6.927,5.862,5.324,5.13,5.095,5.018,5.087,5.014,false
A2IV,9.0,9.154,9.312,9.432,9.479,8.841,8.806,8.779,8.721,8.758,8.744,8.865,false
A1/4,12.352,12.234,12.208,12.173,12.121,11.372,11.261,11.164,11.135,11.154,11.149,8.843,false
A3/4,12.701,12.63,12.637,12.635,12.652,11.875,11.771,11.678,11.628,11.631,11.399,8.252,false
DA?,14.6655,13.6659,13.199,12.911,12.73,11.58,10.917,10.765,10.659,10.723,10.855,9.076,false
A2,9.942,9.902,9.928,9.939,9.942,9.204,9.097,9.035,8.972,9.002,9.018,8.954,false
K0,10.137,9.369,9.045,8.861,8.758,7.682,7.157,7.044,6.976,7.065,6.993,6.84,false
K0,11.0393,9.6356,9.1344,9.2485,8.9429,7.682,7.157,7.044,6.976,7.065,6.993,6.84,false
B8,8.918,9.114,9.302,9.439,9.498,8.871,8.88,8.848,8.841,8.878,8.853,8.501,false
F8,12.314,11.998,11.892,11.864,11.862,10.984,10.728,10.679,10.608,10.642,10.466,8.706,false
B8,9.3706,8.9017,8.9237,10.2484,10.2136,8.871,8.88,8.848,8.841,8.878,8.853,8.501,false
F2,11.128,11.045,11.045,11.038,11.027,10.272,10.154,10.07,10.058,10.056,9.919,8.281,false
dK7.0,18.5483,17.2847,16.6039,16.2775,16.0804,14.882,14.183,13.979,13.915,13.919,12.028,8.793,false
dK7.0,16.0743,15.0281,14.518,14.2834,14.1138,12.988,12.384,12.221,12.065,12.044,12.335,9.067,false
C,16.6169,15.2246,14.5344,14.0784,13.8333,12.376,11.514,11.257,11.079,11.208,10.857,8.883,false
A0,10.878,10.925,11.012,11.071,11.095,10.387,10.347,10.276,10.279,10.285,10.258,8.239,false
G3,16.5398,15.718,15.3294,15.1518,15.0136,13.879,13.296,13.261,13.008,13.067,12.286,8.392,false
F7,14.1519,13.7795,13.8103,13.6013,13.5384,12.667,12.402,12.336,12.284,12.298,11.888,8.385,false
K1,16.2644,15.4498,15.1027,14.861,14.6992,13.792,13.267,13.112,12.989,12.97,12.112,8.432,false
K0III,11.121,9.958,9.413,9.064,8.869,7.621,6.923,6.699,6.632,6.671,6.596,6.57,false
F5,12.21,11.991,11.899,11.814,11.774,10.939,10.79,10.669,10.541,10.566,10.456,8.21,false
dK7.0-,18.2144,17.0366,16.454,16.1551,15.943,14.751,14.102,13.811,13.842,13.886,11.628,8.793,false
K0V,10.994,10.369,10.104,9.961,9.892,8.882,8.45,8.323,8.284,8.349,8.297,8.36,false
K2III,11.1833,9.8567,9.6444,9.3305,8.9013,7.875,7.212,6.994,6.907,6.987,6.924,6.86,false
A3,12.352,12.295,12.333,12.38,12.3726,11.639,11.537,11.494,11.427,11.459,11.704,8.904,false
G8IV,11.5005,10.4469,9.9078,10.2521,11.8579,9.057,8.528,8.391,8.356,8.428,8.352,8.41,false
esdK7.0,15.9222,14.7612,14.2229,13.9752,13.8137,12.687,12.003,11.85,11.736,11.748,11.469,8.268,false
B1:V:,9.062,9.258,9.444,9.583,9.64,9.012,9.037,8.987,9.032,9.065,9.161,8.847,false
G2,12.925,12.529,12.38,12.319,12.3081,11.392,11.084,11.032,11.026,11.041,10.816,8.35,false
F0V,10.946,10.843,10.857,10.897,10.913,10.15,10.014,9.971,9.945,9.959,9.906,8.858,false
G3,15.5588,14.943,14.6856,14.5755,14.4769,13.526,13.086,13.01,12.821,12.82,12.071,8.79,false
M3V,22.1372,20.8034,19.4019,18.723,18.3655,16.981,16.055,15.763,16.309,16.593,12.538,8.598,false
A0,9.713,9.909,10.097,10.234,10.293,9.66,9.664,9.647,9.624,9.642,9.613,8.113,false
dC,16.3699,15.0536,14.4421,14.0322,13.7866,12.428,11.602,11.362,11.193,11.277,11.37,8.857,false
dK7.5-,18.4688,17.2046,16.5362,16.2196,16.0225,14.864,14.089,13.954,13.861,14.051,12.048,8.892,false
G0,12.944,12.519,12.347,12.272,12.2464,11.322,11.025,10.938,10.893,10.922,11.18,8.92,false
dK7.5+,18.9057,17.6075,16.8533,16.4652,16.2324,15.077,14.367,14.116,14.064,14.106,12.456,8.64,false
C-R,13.6985,12.564,12.145,11.89,11.744,10.595,9.974,9.807,9.659,9.737,9.6,8.907,false
dM0.0,15.8291,14.6844,14.0487,13.7094,13.5245,12.318,11.723,11.494,11.39,11.329,11.076,8.947,false
A2V,9.328,9.439,9.564,9.637,9.711,9.065,9.019,8.961,8.931,8.967,8.933,8.57,false
A2V,9.8509,10.0394,9.5272,10.1655,10.9059,9.065,9.019,8.961,8.931,8.967,8.933,8.57,false
A2V,9.2877,8.9369,9.6178,9.3411,10.2942,9.065,9.019,8.961,8.931,8.967,8.933,8.57,false
G,11.038,10.722,10.616,10.588,10.586,9.729,9.48,9.377,9.102,9.139,9.173,8.381,false
K0,9.701,8.923,8.637,8.496,8.392,7.344,6.804,6.647,6.58,6.65,6.605,6.561,false
M0,9.937,8.548,7.803,7.289,7.037,5.681,4.931,4.641,4.589,4.554,4.609,4.482,false
F0,9.359,9.222,9.225,9.274,9.305,8.521,8.366,8.321,8.255,8.272,8.269,8.03,false
B9,12.359,12.152,12.059,11.982,11.9679,11.214,11.106,11.043,10.971,10.972,11.04,8.285,false
B8,10.753,10.743,10.793,10.831,10.836,10.108,10.035,9.967,9.969,9.989,9.969,7.965,false
A0,11.993,12.053,12.145,12.206,12.1789,11.516,11.498,11.445,11.37,11.399,11.464,8.667,false
OB-,16.4277,15.9818,15.2711,14.3486,15.2142,12.587,12.36,12.299,13.126,12.975,11.776,8.61,false
G0V,10.7414,10.3523,10.5896,12.1982,10.9653,9.498,9.213,9.143,9.069,9.112,9.11,8.953,false
G0V,10.996,10.621,10.475,10.413,10.399,9.498,9.213,9.143,9.069,9.112,9.11,8.953,false
B5,11.6,11.543,11.555,11.548,11.562,10.794,10.716,10.649,10.611,10.669,10.719,8.122,false
G8,11.784,11.338,11.178,11.118,11.09,10.168,9.82,9.745,9.539,9.61,9.523,7.922,false
A0,10.817,10.942,11.079,11.168,11.229,10.565,10.535,10.523,10.501,10.519,10.465,8.909,false
A5,11.314,11.173,11.133,11.095,11.069,10.281,10.144,10.045,9.947,9.967,9.881,8.13,false
G5V,9.762,9.081,8.762,8.574,8.491,7.489,7.004,6.897,6.826,6.888,6.864,6.921,false
G5V,9.3923,9.2172,8.6837,8.6921,9.0151,7.489,7.004,6.897,6.826,6.888,6.864,6.921,false
A5,11.4172,11.3963,14.534,11.3562,14.1167,10.281,10.144,10.045,9.947,9.967,9.881,8.13,false
G0,11.659,11.449,11.406,11.425,11.444,10.625,10.417,10.365,10.332,10.369,10.543,8.819,false
G0,11.89,11.583,11.493,11.479,11.484,10.618,10.344,10.309,10.279,10.302,10.207,8.613,false
M3:,13.144,11.003,9.798,8.932,8.5,6.753,5.673,5.266,5.131,5.111,5.054,4.897,false
B1.5III:,12.081,11.85,11.717,11.637,11.701,10.847,10.689,10.658,10.554,10.527,9.414,5.609,false
A9V,8.496,8.397,8.387,8.378,8.362,7.589,7.506,7.394,7.297,7.333,7.35,7.362,false
K,10.201,9.453,9.187,9.062,8.965,7.922,7.343,7.251,7.118,7.235,7.143,7.162,false
K,10.7828,9.7036,9.1352,9.732,9.0131,7.922,7.343,7.251,7.118,7.235,7.143,7.162,false
G5,10.751,10.522,10.477,10.494,10.515,9.686,9.453,9.423,9.324,9.324,9.399,8.935,false
A0V,8.333,8.505,8.67,8.776,8.862,8.213,8.237,8.201,8.149,8.19,8.196,8.572,false
F0,9.984,9.833,9.831,9.88,9.913,9.128,8.941,8.908,8.868,8.877,8.884,8.572,false
A1/2IV/V,9.187,9.336,9.489,9.597,9.647,8.996,8.986,8.947,8.902,8.923,8.829,8.322,false
R,12.8525,11.637,10.413,9.557,9.111,7.375,6.298,5.812,5.295,5.199,4.997,4.878,false
F7/8V,11.678,10.3709,9.335,9.9806,11.0055,8.762,8.568,8.472,8.446,8.484,8.439,7.994,false
F7/8V,9.897,9.626,9.571,9.59,9.604,8.762,8.568,8.472,8.446,8.484,8.439,7.994,false
F7V,9.5862,9.8149,8.7619,9.3929,9.3062,7.696,7.42,7.332,7.277,7.333,7.341,7.547,false
B9IV,9.453,9.574,9.708,9.791,9.876,9.216,9.171,9.17,9.132,9.149,9.188,8.343,false
M0,9.934,9.003,8.55,8.262,8.119,6.96,6.415,6.238,6.182,6.205,6.193,6.122,false
K0,10.562,9.751,9.376,9.152,9.038,7.942,7.406,7.289,7.198,7.293,7.226,7.086,false
C-R,13.22,12.232,11.737,11.418,11.262,10.071,9.477,9.323,9.233,9.349,9.202,8.651,false
F7IV,14.4028,13.9664,13.8075,13.7605,13.6853,12.816,12.447,12.374,12.36,12.39,11.835,8.592,false
A6V,13.9261,13.7037,13.6842,13.621,13.5537,12.799,12.667,12.593,12.398,12.444,12.02,9.015,false
F7IV,14.7141,14.2496,14.0722,14.016,13.9401,13.06,12.746,12.688,12.59,12.627,12.364,8.609,false
G2V,14.3382,13.7848,13.5545,13.4551,13.3712,12.397,12.057,11.928,11.823,11.909,12.215,8.39,false
M0III,14.5361,12.505,11.442,10.711,10.321,8.754,7.567,7.265,7.06,7.212,7.031,6.859,false
F7IV,14.4532,14.0759,13.9266,13.8855,13.8404,13.01,12.728,12.671,12.622,12.671,12.423,8.985,false
G5IV,13.456,12.772,12.467,12.293,12.228,11.174,10.716,10.592,10.512,10.557,10.577,9.156,false
K0II,14.7726,14.1791,13.9781,13.9029,13.8427,12.879,12.471,12.387,12.333,12.438,11.701,8.405,false
K4Iab,12.8628,12.3557,12.5802,12.4885,11.8311,10.903,10.424,10.309,10.137,10.14,10.12,9.191,false
G2.5IVa,11.555,11.189,11.059,11.015,11.003,10.131,9.817,9.748,9.672,9.711,9.619,8.808,false
A5IV,13.7647,13.4749,13.456,13.3595,13.263,12.477,12.296,12.207,12.144,12.14,12.374,8.95,false
F2,11.034,10.836,10.81,10.845,10.871,10.064,9.836,9.81,9.744,9.755,9.664,8.597,false
F2,11.581,11.0786,10.5003,12.6488,11.8885,10.064,9.836,9.81,9.744,9.755,9.664,8.597,false
B9V,9.706,9.904,10.095,10.241,10.298,9.699,9.667,9.642,9.643,9.68,9.684,8.601,false
F7IV,13.416,13.145,13.09,13.2844,13.2055,12.318,12.017,11.943,11.675,11.695,12.081,8.581,false
F7IV,14.0405,13.35,13.27,13.3728,13.3076,12.41,12.106,12.057,11.794,11.828,11.602,8.524,false
G5III,13.1249,12.961,12.619,12.399,12.1714,11.261,10.888,10.769,10.6,10.691,10.503,8.456,false
F7IV,13.9806,13.5937,13.395,13.3769,13.3191,12.459,12.219,12.166,12.051,12.044,12.46,8.823,false
G8V,14.3977,13.626,13.333,13.0883,12.9636,11.889,11.386,11.248,11.149,11.185,11.101,8.835,false
K4III,14.8916,13.25,12.489,11.982,11.701,10.285,9.408,9.103,8.934,9.003,8.885,8.552,false
K0IV,13.4742,13.237,12.979,12.821,12.7264,11.788,11.473,11.345,11.33,11.38,11.428,9.12,false
F4III,13.442,13.161,13.053,12.9845,12.9256,12.119,11.919,11.841,11.752,11.781,11.742,8.865,false
F4III,13.7581,13.4967,13.465,13.4229,13.3449,12.566,12.351,12.314,12.264,12.265,11.777,8.422,false
F4III,13.078,12.927,12.925,12.972,13.0126,12.222,12.045,11.982,11.679,11.744,11.998,8.601,false
F7IV,14.8773,14.415,14.1963,14.1328,14.0432,13.114,12.827,12.706,12.471,12.487,12.294,8.733,false
A0V,12.211,12.199,12.244,12.262,12.2569,11.548,11.466,11.412,11.363,11.369,12.347,8.67,false
K4III,13.201,11.883,11.258,10.876,10.644,9.365,8.568,8.316,8.194,8.294,8.164,8.427,false
B9IV,12.84,12.758,12.725,12.729,12.6983,12.025,11.967,11.949,11.846,11.878,11.678,9.016,false
A5IV,14.245,13.8634,13.693,13.599,13.4878,12.632,12.392,12.288,12.075,12.091,12.352,8.475,false
A6V,14.5508,14.2562,14.1368,14.0884,13.9705,13.24,12.98,12.877,12.846,12.869,12.002,8.784,false
A6V,15.086,14.0735,13.6542,13.4544,13.2624,12.06,11.489,11.295,11.139,11.183,11.54,9.016,false
F5,9.7876,9.2444,8.7988,,8.9128,8.553,8.362,8.283,8.247,8.271,8.228,8.417,false
B8/9III,7.782,8.06,8.298,8.472,8.555,7.971,8.046,7.998,7.956,8.0,8.016,7.835,false
K0II,14.7356,14.1636,13.9783,13.8885,13.8094,12.855,12.408,12.348,12.159,12.274,11.502,8.936,false
K0II,14.7285,13.8186,13.39,13.1669,12.9949,11.882,11.299,11.16,11.067,11.127,11.059,8.961,false
K2,10.185,9.435,9.17,9.045,8.946,7.91,7.423,7.224,7.153,7.258,7.179,7.083,false
K2,10.3505,9.5136,9.0542,8.2974,9.0241,7.91,7.423,7.224,7.153,7.258,7.179,7.083,false
K0III,15.0835,13.9159,13.187,12.814,12.6473,11.379,10.72,10.507,10.318,10.338,10.072,8.209,false
K1V,14.4182,13.7459,13.4644,13.3845,13.2745,12.319,11.827,11.725,11.668,11.71,11.862,8.61,false
K0III,14.7248,13.319,13.078,12.965,13.0185,11.895,11.372,11.201,11.025,11.084,10.919,8.507,false
K1II,14.1872,12.994,12.31,11.852,11.604,10.25,9.445,9.202,9.06,9.141,9.02,8.267,false
A0III,12.619,12.541,12.538,12.524,12.4783,11.769,11.646,11.56,11.354,11.384,11.314,8.344,false
K4III,12.4306,11.2708,10.6459,10.3489,10.4653,9.088,8.326,8.092,7.959,8.051,7.929,7.936,false
A5IV,13.9102,13.442,13.3,13.2813,13.1897,12.341,12.077,11.986,11.753,11.712,11.369,8.869,false
G2IV,14.6579,14.1467,13.9443,13.8728,13.7939,12.885,12.551,12.475,12.387,12.444,12.049,8.308,false
A5,10.737,10.696,10.722,10.736,10.737,9.995,9.897,9.828,9.762,9.766,9.802,8.687,false
F4III,13.6875,13.159,12.972,12.814,12.7126,11.826,11.632,11.496,11.446,11.46,11.51,8.849,false
G2IV,12.937,12.635,12.562,12.564,12.568,11.725,11.44,11.378,11.24,11.296,11.088,8.672,false
F7IV,13.911,13.5012,13.423,13.2646,13.2179,12.336,12.041,11.935,11.922,11.941,11.864,9.001,false
F4III,14.0717,13.6385,13.42,13.4161,13.3344,12.391,12.145,11.99,11.788,11.794,11.421,8.507,false
F7IV,14.0567,13.4722,13.409,13.0756,12.9763,12.007,11.705,11.569,11.51,11.509,11.292,8.569,false
F7IV,13.9544,13.4849,13.298,13.1198,13.0412,12.132,11.822,11.748,11.673,11.662,11.797,8.683,false
K0II,13.8634,13.163,12.571,12.173,11.979,10.714,10.075,9.874,9.78,9.839,9.724,8.314,false
K2V,13.5515,13.1727,13.0029,12.8175,12.7152,11.785,11.377,11.268,11.207,11.282,11.038,9.013,false
K0,10.104,9.647,9.512,9.477,9.449,8.506,8.091,8.156,7.946,8.004,7.96,7.722,false
A0,9.954,10.156,10.345,10.477,10.55,9.924,9.923,9.922,9.912,9.93,9.773,8.74,false
G5,11.838,11.236,10.946,10.776,10.708,9.717,9.328,9.182,8.7,8.984,9.033,8.348,false
C,14.0661,12.347,10.748,9.579,8.998,6.953,5.664,4.992,4.484,4.203,3.851,3.541,false
F7IV,14.4501,13.9157,13.8499,13.5262,13.4297,12.48,12.138,12.031,11.961,11.981,12.406,8.931,false
G8IIIb,11.562,10.677,10.272,10.026,9.894,8.765,8.186,8.037,7.916,7.996,7.906,8.214,false
G8IIIb,11.9154,10.591,10.6466,9.5563,9.9993,8.765,8.186,8.037,7.916,7.996,7.906,8.214,false
A7V,13.319,13.041,12.871,12.769,12.7747,11.932,11.773,11.728,11.664,11.683,12.264,8.755,false
F4III,11.317,11.121,11.083,11.1,11.116,10.308,10.107,10.059,10.019,10.029,10.061,8.327,false
G8II,14.7548,13.5324,12.795,12.307,12.0735,10.744,10.086,9.807,9.641,9.625,9.497,8.879,false
G5III,14.7858,14.2991,14.0847,14.0165,13.9572,13.068,12.726,12.624,12.59,12.593,12.124,8.971,false
B6V,12.326,12.128,12.048,11.97,11.939,11.124,10.961,10.865,10.791,10.808,10.943,8.806,false
A2V,12.22,12.003,11.883,11.812,11.883,11.04,10.895,10.856,10.797,10.799,11.099,8.83,false
A3,10.85,10.703,10.656,10.607,10.586,9.79,9.673,9.541,9.48,9.49,9.5,8.495,false
F8V,13.9132,13.465,13.361,13.2203,13.1638,12.298,11.975,11.892,11.851,11.888,11.792,9.094,false
A3,10.925,10.96,11.038,11.095,11.114,10.408,10.351,10.29,10.254,10.262,10.194,8.509,false
F7IV,14.2847,13.7456,13.4908,13.3607,13.261,12.366,12.069,11.897,11.848,11.856,11.768,8.931,false
F4III,13.427,13.116,12.989,12.92,12.8322,12.038,11.815,11.707,11.655,11.662,11.344,8.743,false
F8V,12.446,12.147,12.045,12.015,11.9689,11.15,10.91,10.837,10.769,10.781,10.69,8.983,false
F0,11.585,11.604,11.67,11.713,11.729,11.017,10.943,10.884,10.764,10.795,10.793,8.516,false
A0,11.461,11.555,11.675,11.762,11.793,11.112,11.095,11.018,11.029,11.049,10.916,8.779,false
K1III,12.14,11.288,10.927,10.718,10.595,9.49,8.917,8.772,8.645,8.705,8.639,8.159,false
K1III,13.9933,13.279,12.904,12.68,12.5373,11.467,10.939,10.812,10.729,10.803,10.861,8.878,false
F3,13.7865,13.6099,13.5657,13.5972,13.5992,12.816,12.661,12.607,12.567,12.578,11.573,9.005,false
K2,9.005,7.955,7.514,7.262,7.092,5.926,5.245,5.032,5.002,4.906,4.992,4.919,false
K2III,14.5022,13.208,12.803,12.567,12.5257,11.277,10.627,10.445,10.315,10.424,10.312,8.431,false
K5II,14.4412,12.744,11.979,11.487,11.206,9.827,8.904,8.61,8.439,8.565,8.421,8.543,false
G4V,13.281,12.836,12.677,12.616,12.6069,11.674,11.328,11.235,11.2,11.233,10.729,8.232,false
G5III,14.1143,13.6398,13.4547,13.3742,13.3372,12.418,12.094,11.992,11.965,12.0,11.653,8.883,false
G6III,12.512,11.656,11.274,11.043,10.918,9.808,9.241,9.096,8.983,9.057,8.964,8.841,false
F5IV,13.5946,13.086,12.93,12.871,12.8185,11.945,11.607,11.537,11.48,11.489,11.382,8.586,false
G5IIb,13.279,12.527,12.192,11.998,11.899,10.829,10.327,10.209,10.11,10.192,10.131,8.681,false
G0V,13.8591,13.425,13.329,13.3526,13.3338,12.456,12.158,12.098,12.079,12.091,12.132,9.022,false
G5III,14.2568,13.7316,13.458,13.433,13.3726,12.41,11.981,11.904,11.832,11.891,11.648,8.78,false
G2IV,13.38,12.987,12.836,12.777,12.7616,11.85,11.549,11.469,11.365,11.448,11.788,8.415,false
G5III,14.6891,14.2056,14.0229,13.9535,13.8838,13.016,12.7,12.625,12.553,12.614,12.323,8.991,false
A5IV,14.454,14.1842,14.1334,14.1247,14.0643,13.264,13.09,13.034,12.981,13.009,12.417,8.427,false
K1III,12.423,11.404,10.982,10.744,10.585,9.427,8.729,8.557,8.461,8.567,8.397,7.94,false
G5III,14.3093,13.6285,13.291,13.187,13.0809,12.049,11.564,11.47,11.399,11.437,11.159,8.975,false
F7IV,14.4188,14.0833,13.9429,13.8941,13.8459,13.019,12.741,12.694,12.648,12.697,11.702,9.021,false
A0V,11.866,11.901,11.979,12.036,12.0435,11.332,11.292,11.227,11.214,11.243,11.743,8.933,false
F7V,13.726,13.392,13.265,13.2251,13.2027,12.336,12.065,11.983,11.946,11.987,11.61,8.961,false
F4III,13.5778,13.213,13.112,13.0981,13.0687,12.217,11.971,11.902,11.866,11.902,11.845,9.103,false
G8II,14.6124,13.7735,13.4217,13.2245,13.0891,12.001,11.395,11.276,11.156,11.22,11.258,8.961,false
F5IV,13.159,12.843,12.737,12.708,12.6621,11.834,11.568,11.525,11.45,11.466,11.418,8.65,false
F0IV,14.5222,14.1495,14.0064,13.9626,13.9137,13.064,12.779,12.732,12.618,12.627,11.833,9.062,false
K4III,12.9039,11.9906,10.3762,9.6641,10.3353,8.71,7.956,7.751,7.629,7.745,7.629,7.467,false
A1V,12.718,12.687,12.722,12.736,12.6839,12.009,11.914,11.845,11.82,11.842,12.068,8.97,false
F2IV,13.6175,13.373,13.218,13.0594,12.9907,12.236,11.896,11.821,11.741,11.755,12.292,9.044,false
G1V,14.53,14.0361,13.8409,13.7737,13.6918,12.822,12.525,12.421,12.311,12.345,12.339,8.096,false
G4V,13.5277,13.192,13.036,12.977,12.909,12.049,11.722,11.643,11.566,11.567,11.181,8.582,false
A0III,12.737,12.746,12.807,12.838,12.8599,12.122,12.064,12.011,11.944,11.962,11.955,8.985,false
F7IV,14.8611,14.2724,14.0201,13.9005,13.7811,12.844,12.512,12.39,12.321,12.303,12.502,9.135,false
A5IV,14.1557,13.8721,13.7777,13.7471,13.6792,12.894,12.711,12.591,12.577,12.621,11.891,8.186,false
K4Iab,15.2001,13.4993,12.687,12.057,11.732,10.21,9.288,8.963,8.773,8.885,8.731,8.416,false
A5IV,13.479,13.222,13.156,13.1134,13.1326,12.329,12.079,12.053,11.868,11.891,12.031,8.244,false
G4V,13.362,12.975,12.854,12.826,12.7779,11.927,11.58,11.541,11.464,11.524,11.798,8.49,false
A5IV,13.239,12.977,12.887,12.852,12.7776,11.989,11.795,11.722,11.664,11.684,11.563,8.895,false
F7IV,13.2893,13.133,12.975,12.897,12.7783,11.954,11.7,11.643,11.521,11.552,11.407,8.35,false
K2IIIb,12.027,11.086,10.666,10.411,10.265,9.118,8.506,8.346,8.224,8.316,8.214,8.722,false
F7IV,12.375,12.161,12.107,12.107,12.0809,11.299,11.105,11.044,11.0,11.017,10.769,8.021,false
G5III,14.8601,14.2562,13.9695,13.8195,13.7237,12.75,12.337,12.217,12.163,12.184,12.27,8.634,false
F9IV,14.3069,13.7775,13.5619,13.4583,13.3715,12.455,12.118,12.022,11.966,11.987,12.322,9.006,false
K0IV,13.4644,13.119,12.909,12.802,12.7393,11.829,11.47,11.383,11.354,11.418,11.443,9.026,false
G4V,14.7902,14.2773,14.0634,13.9639,13.8885,13.001,12.677,12.582,12.449,12.454,11.581,8.877,false
F6IV,14.0869,13.277,13.227,13.3969,13.3221,12.461,12.202,12.103,11.82,11.887,11.581,8.329,false
F7IV,13.6693,13.324,13.13,12.9907,12.9258,12.058,11.783,11.682,11.677,11.692,11.491,8.377,false
G5III,14.5992,14.1176,13.918,13.8628,13.8242,12.888,12.457,12.361,12.29,12.32,12.06,8.694,false
G8II,13.807,12.673,12.312,12.104,11.979,10.885,10.277,10.127,9.983,10.061,10.055,8.41,false
F4III,12.173,11.949,11.883,11.862,11.85,11.03,10.845,10.778,10.726,10.765,10.952,8.961,false
F7IV,14.6315,14.1727,14.0056,13.9385,13.8623,12.949,12.626,12.541,12.351,12.432,11.837,8.646,false
G9III,12.748,11.895,11.534,11.326,11.204,10.096,9.511,9.363,9.265,9.334,9.218,8.274,false
G7III,13.6691,12.725,12.364,12.156,12.0662,10.929,10.324,10.204,10.112,10.175,10.021,8.807,false
G0IV,12.968,12.253,11.928,11.737,11.647,10.601,10.138,9.995,9.891,9.935,9.909,8.953,false
G8II,14.7451,13.6385,13.0,12.666,12.5214,11.25,10.583,10.398,10.246,10.306,10.154,8.369,false
F7IV,13.258,12.989,12.906,12.892,12.8918,12.055,11.819,11.746,11.579,11.608,11.511,8.507,false
A5IV,12.984,13.003,13.071,13.1837,13.1342,12.418,12.347,12.276,12.209,12.253,12.08,8.534,false
A8V,13.416,13.227,13.152,13.1135,13.0753,12.257,12.095,12.004,11.918,11.945,11.875,8.538,false
A5IV,13.083,12.93,12.873,12.826,12.8178,12.096,12.013,11.957,11.919,11.971,12.243,8.506,false
B2V,14.8665,14.1211,13.7972,13.4524,13.2709,12.326,12.03,11.909,11.778,11.791,11.981,9.13,false
A8V,14.1119,13.8317,13.755,13.699,13.6557,12.843,12.617,12.553,12.304,12.329,12.467,9.012,false
A0,11.192,11.281,11.395,11.472,11.508,10.816,10.804,10.728,10.714,10.737,10.582,8.819,false
K2III,12.503,11.604,11.262,11.086,10.956,9.86,9.21,9.043,8.937,9.034,8.944,8.755,false
A0III,13.121,13.161,13.241,13.3515,13.3179,12.611,12.543,12.496,12.474,12.506,11.822,8.615,false
A0V,13.7802,13.6916,13.7535,13.7829,13.7337,13.031,12.939,12.903,12.857,12.927,12.238,9.031,false
K0III,13.375,12.642,12.361,12.215,12.1925,11.076,10.529,10.413,10.412,10.48,10.397,8.295,false
A5IV,14.0983,13.868,13.8357,13.838,13.7834,12.997,12.881,12.791,12.764,12.828,11.909,9.055,false
K7V,14.3016,13.467,13.045,12.791,12.5749,11.488,10.861,10.728,10.702,10.737,10.516,8.244,false
B8,10.821,10.916,11.036,11.123,11.154,10.472,10.443,10.385,10.381,10.42,10.403,8.79,false
F4III,14.1752,13.8398,13.6713,13.7166,13.68,12.873,12.616,12.583,12.503,12.508,11.73,8.849,false
K0IV,12.489,12.012,11.833,11.755,11.722,10.788,10.421,10.343,10.291,10.342,10.423,9.095,false
A5IV,12.232,12.09,12.079,12.109,12.0976,11.33,11.173,11.148,11.084,11.106,11.195,8.991,false
A5IV,14.2686,13.9338,13.8317,13.7934,13.7246,12.911,12.712,12.635,12.589,12.589,11.965,8.77,false
F0V,13.489,13.218,13.081,12.963,12.9754,12.123,11.928,11.863,11.775,11.789,11.857,8.632,false
A0III,13.347,13.265,13.255,13.2741,13.2287,12.572,12.481,12.459,12.405,12.441,11.975,8.98,false
F2IV,12.904,12.602,12.489,12.442,12.44,11.556,11.333,11.266,11.214,11.223,11.092,8.84,false
A5IV,14.4498,14.2343,14.1836,14.1784,14.1293,13.24,13.054,12.929,12.81,12.819,11.792,8.47,false
A5IV,13.7088,13.5617,13.9374,13.5098,13.4696,12.685,12.564,12.485,12.463,12.48,12.003,8.867,false
M1Ia,15.1984,12.998,11.734,10.847,10.387,8.626,7.406,7.018,6.799,6.889,6.736,6.556,false
B9,10.689,10.659,10.694,10.708,10.715,9.972,9.906,9.812,9.818,9.825,9.804,8.39,false
A5IV,14.7623,14.3762,14.301,14.1404,14.0222,13.144,12.842,12.733,12.495,12.55,9.986,6.901,false
F7IV,13.329,12.866,12.647,12.522,12.3982,11.533,11.238,11.131,11.089,11.106,11.098,8.756,false
K0II,13.6094,13.222,13.001,12.894,12.8127,11.878,11.491,11.407,11.332,11.369,11.133,8.621,false
G2IV,13.062,12.706,12.607,12.593,12.5388,11.726,11.376,11.342,11.265,11.312,11.176,8.421,false
